EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0519,2,1970/1/5 19:17,921750,-67,157
E2801160600002073A4A0529,2,1970/1/5 19:17,921750,-64,16
E2801160600002073A4A0519,3,1970/1/5 19:17,913750,-68,157
E2801160600002073A4A0529,3,1970/1/5 19:17,913750,-62,36
E2801160600002073A4A0529,1,1970/1/5 19:17,913750,-49,78
E2801160600002073A4A0519,1,1970/1/5 19:17,913750,-52,95
E2801160600002073A4A0529,2,1970/1/5 19:17,913750,-63,14
E2801160600002073A4A0519,2,1970/1/5 19:17,913750,-67,149
E2801160600002073A4A0519,3,1970/1/5 19:17,913750,-68,157
E2801160600002073A4A0529,3,1970/1/5 19:17,913750,-62,30
E2801160600002073A4A0519,1,1970/1/5 19:17,913750,-52,101
E2801160600002073A4A0529,1,1970/1/5 19:17,913750,-49,90
E2801160600002073A4A0519,2,1970/1/5 19:17,913750,-67,160
E2801160600002073A4A0529,2,1970/1/5 19:17,913750,-63,14
E2801160600002073A4A0529,1,1970/1/5 19:17,925250,-51,25
E2801160600002073A4A0519,1,1970/1/5 19:17,925250,-53,39
E2801160600002073A4A0519,2,1970/1/5 19:17,925250,-67,67
E2801160600002073A4A0529,2,1970/1/5 19:17,925250,-62,120
E2801160600002073A4A0519,3,1970/1/5 19:17,925250,-65,109
E2801160600002073A4A0529,3,1970/1/5 19:17,925250,-60,115
E2801160600002073A4A0519,1,1970/1/5 19:17,925250,-53,39
E2801160600002073A4A0529,1,1970/1/5 19:17,925250,-52,33
E2801160600002073A4A0529,2,1970/1/5 19:17,925250,-62,112
E2801160600002073A4A0519,2,1970/1/5 19:17,925250,-67,61
E2801160600002073A4A0529,3,1970/1/5 19:17,925250,-60,126
E2801160600002073A4A0519,3,1970/1/5 19:17,925250,-65,112
E2801160600002073A4A0529,1,1970/1/5 19:17,925250,-52,33
E2801160600002073A4A0519,1,1970/1/5 19:17,925250,-53,28
E2801160600002073A4A0529,2,1970/1/5 19:17,925250,-62,104
E2801160600002073A4A0519,2,1970/1/5 19:17,925250,-67,84
E2801160600002073A4A0529,3,1970/1/5 19:17,925250,-61,120
E2801160600002073A4A0519,3,1970/1/5 19:17,925250,-66,104
E2801160600002073A4A0519,1,1970/1/5 19:17,910750,-51,168
E2801160600002073A4A0529,1,1970/1/5 19:17,910750,-49,157
E2801160600002073A4A0519,2,1970/1/5 19:17,910750,-67,59
E2801160600002073A4A0529,2,1970/1/5 19:17,910750,-61,95
E2801160600002073A4A0519,3,1970/1/5 19:17,910750,-66,56
E2801160600002073A4A0529,3,1970/1/5 19:17,910750,-61,115
E2801160600002073A4A0529,1,1970/1/5 19:17,910750,-49,154
E2801160600002073A4A0519,1,1970/1/5 19:17,910750,-51,171
E2801160600002073A4A0529,2,1970/1/5 19:17,910750,-61,95
E2801160600002073A4A0519,2,1970/1/5 19:17,910750,-67,67
E2801160600002073A4A0529,3,1970/1/5 19:17,910750,-61,132
E2801160600002073A4A0519,3,1970/1/5 19:17,910750,-66,42
E2801160600002073A4A0529,1,1970/1/5 19:17,910750,-49,149
E2801160600002073A4A0519,1,1970/1/5 19:17,910750,-51,165
E2801160600002073A4A0519,2,1970/1/5 19:17,910750,-67,53
E2801160600002073A4A0529,2,1970/1/5 19:17,910750,-61,112
E2801160600002073A4A0529,3,1970/1/5 19:17,910750,-61,104
E2801160600002073A4A0519,3,1970/1/5 19:17,910750,-66,50
E2801160600002073A4A0519,1,1970/1/5 19:17,916250,-54,30
E2801160600002073A4A0529,1,1970/1/5 19:17,916250,-51,25
E2801160600002073A4A0529,2,1970/1/5 19:17,916250,-62,140
E2801160600002073A4A0519,2,1970/1/5 19:17,916250,-66,126
E2801160600002073A4A0519,3,1970/1/5 19:17,916250,-67,123
E2801160600002073A4A0529,3,1970/1/5 19:17,916250,-62,140
E2801160600002073A4A0519,1,1970/1/5 19:17,916250,-53,56
E2801160600002073A4A0529,1,1970/1/5 19:17,916250,-51,16
E2801160600002073A4A0529,2,1970/1/5 19:17,916250,-62,135
E2801160600002073A4A0519,2,1970/1/5 19:17,916250,-67,120
E2801160600002073A4A0529,3,1970/1/5 19:17,916250,-62,163
E2801160600002073A4A0519,3,1970/1/5 19:17,916250,-68,118
