EPC,Ant,Time,Frequency,RSSI,Phase
E2801160600002073A4A0529,1,1970/1/1 0:07,908750,-45,154
E2801160600002073A4A0519,1,1970/1/1 0:07,908750,-45,140
E2801160600002073A4A0519,1,1970/1/1 0:07,908750,-45,143
E2801160600002073A4A0529,1,1970/1/1 0:07,908750,-45,151
E2801160600002073A4A0529,1,1970/1/1 0:07,908750,-45,154
E2801160600002073A4A0519,1,1970/1/1 0:07,908750,-45,146
E2801160600002073A4A0519,1,1970/1/1 0:07,924750,-45,151
E2801160600002073A4A0529,1,1970/1/1 0:07,924750,-46,154
E2801160600002073A4A0519,1,1970/1/1 0:07,924750,-45,151
E2801160600002073A4A0529,1,1970/1/1 0:07,924750,-47,163
E2801160600002073A4A0519,1,1970/1/1 0:07,924750,-46,154
E2801160600002073A4A0529,1,1970/1/1 0:07,924750,-47,157
E2801160600002073A4A0519,1,1970/1/1 0:07,915750,-48,160
E2801160600002073A4A0529,1,1970/1/1 0:07,915750,-48,165
E2801160600002073A4A0519,1,1970/1/1 0:07,915750,-45,160
E2801160600002073A4A0529,1,1970/1/1 0:07,915750,-47,160
E2801160600002073A4A0529,1,1970/1/1 0:07,915750,-47,165
E2801160600002073A4A0519,1,1970/1/1 0:07,915750,-46,165
E2801160600002073A4A0519,1,1970/1/1 0:07,910250,-46,109
E2801160600002073A4A0529,1,1970/1/1 0:07,915750,-48,163
E2801160600002073A4A0529,1,1970/1/1 0:07,910250,-45,109
E2801160600002073A4A0519,1,1970/1/1 0:07,910250,-45,104
E2801160600002073A4A0529,1,1970/1/1 0:07,910250,-45,112
E2801160600002073A4A0519,1,1970/1/1 0:07,910250,-45,104
E2801160600002073A4A0519,1,1970/1/1 0:07,910250,-45,101
E2801160600002073A4A0529,1,1970/1/1 0:07,910250,-45,112
E2801160600002073A4A0529,1,1970/1/1 0:07,903250,-45,95
E2801160600002073A4A0519,1,1970/1/1 0:07,903250,-45,81
E2000017221200910820C6AD,1,1970/1/1 0:07,903250,-75,5
E2801160600002073A4A0529,1,1970/1/1 0:07,903250,-45,95
E2801160600002073A4A0519,1,1970/1/1 0:07,903250,-45,81
